0.133333	-5.4984894e+00	-1.0145920e+01	0
0.133333	-6.3429651e+00	-4.3455808e+00	1
0.133333	1.5551488e+00	5.9031571e+00	2
0.133333	7.3472022e-02	2.0470310e+00	3
0.133333	-3.0588780e+00	3.0601379e+00	4
0.133333	-9.0800763e-01	-2.4824136e+00	5
0.133333	-5.8926643e+00	2.2257649e+00	6
0.133333	-3.5017421e+00	-5.9303079e-02	7
0.133333	-6.1361679e+00	-3.3995167e+00	8
0.133333	-6.4497171e+00	-9.7110259e+00	9
0.133333	-1.7684231e+00	-1.0185007e+00	10
0.133333	-2.2750475e-01	-8.6002592e+00	11
0.133333	-3.3414453e-01	-1.2710525e+01	12
0.133333	-5.1209288e-01	-9.8904053e+00	13
0.133333	3.0614373e-01	-1.2011388e+01	14
0.133333	1.2535266e+00	-4.7156210e+00	15
0.133333	6.2640293e+00	-3.0046963e+00	16
0.133333	3.3703281e+00	6.7738852e-02	17
0.133333	2.7587764e+00	1.8796065e+00	18
0.133333	3.8351376e+00	2.2177672e+00	19
0.133333	6.7002423e+00	5.4490959e+00	20
0.133333	6.1559299e+00	5.5508808e+00	21
0.133333	1.5560187e+00	8.3850038e+00	22
0.133333	-9.4594922e-01	8.0145705e+00	23
0.133333	4.3809090e-02	1.0918178e+01	24
0.266667	-5.5263561e+00	-1.0175078e+01	0
0.266667	-6.2529105e+00	-4.5432294e+00	1
0.266667	1.3821397e+00	5.9848208e+00	2
0.266667	1.0650233e-01	1.8480915e+00	3
0.266667	-2.8301354e+00	3.0367893e+00	4
0.266667	-7.0454997e-01	-2.6489683e+00	5
0.266667	-5.7177188e+00	2.0585648e+00	6
0.266667	-3.3889844e+00	3.0300234e-04	7
0.266667	-6.1944831e+00	-3.3437833e+00	8
0.266667	-6.3324413e+00	-9.8510048e+00	9
0.266667	-1.5137502e+00	-9.2715520e-01	10
0.266667	-2.3008656e-01	-8.4862107e+00	11
0.266667	-3.9052335e-01	-1.2740328e+01	12
0.266667	-3.9804434e-01	-9.8878235e+00	13
